URL_ID,URL,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Average Sentence Length,Percentage of Complex words,Complex Word Count,Fog Index,avg no of words per sentence,word count,Syllable per word,personal pronouns,Average Word Length,
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,119,39,0.506329111,0.057039711,34.19753086,0.342960289,950,13.81619646,34.85219006,2770,5408,27,5.641877256,
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,109,40,0.463087245,0.063028765,32.38356164,0.67428088,1594,13.22313701,34.85219006,2364,4204,29,5.165397631,
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,107,39,0.465753421,0.054969879,29.84269663,0.93185241,2475,12.30981962,34.85219006,2656,5034,26,5.512424699,
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,124,33,0.579617831,0.06073501,29.71264368,1.230560928,3181,12.37728184,34.85219006,2585,4823,43,5.152804642,
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,110,34,0.527777774,0.053872054,31.08139535,1.476243921,3946,13.02305571,34.85219006,2673,4946,45,5.311260756,
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,96,29,0.535999996,0.056715063,35.5483871,2.082577132,4590,15.05238569,34.85219006,2204,4118,46,5.357985481,
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,67,15,0.634146334,0.05036855,33.2244898,3.126535627,5090,14.54041017,34.85219006,1628,3079,30,5.556511057,
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,31,5,0.722222202,0.045283019,132.5,6.750943396,5367,55.70037736,34.85219006,795,1720,26,6.067924528,
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,78,19,0.608247416,0.060061919,39.3902439,3.624148607,5853,17.205757,34.85219006,1615,3075,25,5.469349845,
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,116,48,0.414634144,0.052530429,36.30232558,2.155349135,6729,15.38306989,34.85219006,3122,5769,34,5.107623318,
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,100,74,0.149425286,0.058174524,26.00869565,2.532597793,7575,11.41651738,34.85219006,2991,5431,24,5.186894015,
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,85,27,0.517857138,0.05258216,35.5,3.880751174,8266,15.75230047,34.85219006,2130,4249,33,5.637558685,
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,81,32,0.433628315,0.052460539,27.61538462,4.129990715,8896,12.69815013,34.85219006,2154,4058,29,5.319870009,
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,113,27,0.61428571,0.053252187,37.55714286,3.656903766,9614,16.48561865,34.85219006,2629,4753,45,5.185241537,
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,118,28,0.616438352,0.056046065,30.64705882,3.982341651,10374,13.85176019,34.85219006,2605,4834,37,5.282917466,
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,62,4,0.878787865,0.047516199,53.42307692,7.809215263,10847,24.49291687,34.85219006,1389,2846,23,5.781857451,
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,142,42,0.543478258,0.068579948,206.3846154,4.316064107,11580,84.2802718,34.85219006,2683,5012,39,5.18039508,
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,71,3,0.918918907,0.039784946,30.49180328,6.561827957,12205,14.82145249,34.85219006,1860,3621,23,5.523655914,
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,49,9,0.689655161,0.036182158,34.10638298,7.953836556,12750,16.82408781,34.85219006,1603,3163,25,5.718028696,
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,39,7,0.695652159,0.038590604,74.5,11.05033557,13172,34.22013423,34.85219006,1192,2479,25,5.992449664,
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,31,5,0.722222202,0.045283019,132.5,16.91698113,13449,59.76679245,34.85219006,795,1720,26,6.067924528,
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,71,73,-0.013888889,0.062445794,37.19354839,6.137467476,14153,17.33240635,34.85219006,2306,4278,25,5.392020815,
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,54,17,0.521126753,0.04382716,46.28571429,9.039506173,14644,22.13008818,34.85219006,1620,3171,27,5.558024691,
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,110,46,0.410256408,0.053315106,30.47916667,5.2734108,15430,14.30103099,34.85219006,2926,5383,33,5.181818182,
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,86,6,0.869565208,0.058227848,29.81132075,10.09050633,15943,15.96073083,34.85219006,1580,3126,27,5.65,
